2025-04-13 21:46:55.479 | ERROR    | proxy_tester:test_proxy:41 - Proxy 98.97.148.19:7979 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8A50>, 'Connection to 98.97.148.19 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.482 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.106.180.49:83 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8B90>, 'Connection to 103.106.180.49 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.493 | ERROR    | proxy_tester:test_proxy:41 - Proxy 222.67.12.40:1080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A9090>, 'Connection to 222.67.12.40 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.493 | ERROR    | proxy_tester:test_proxy:41 - Proxy 222.70.146.212:1080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A9590>, 'Connection to 222.70.146.212 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.494 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.156.17.35:8181 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A91D0>, 'Connection to 103.156.17.35 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.494 | ERROR    | proxy_tester:test_proxy:41 - Proxy 38.253.86.93:999 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A9450>, 'Connection to 38.253.86.93 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.660 | SUCCESS  | proxy_tester:test_proxy:35 - Proxy 159.203.61.169:3128 working, response time: 5.29s
2025-04-13 21:46:56.108 | SUCCESS  | proxy_tester:test_proxy:35 - Proxy 157.10.97.107:8383 working, response time: 9.94s
2025-04-13 21:46:56.214 | ERROR    | proxy_tester:test_proxy:41 - Proxy 125.141.133.48:5566 failed: HTTPSConnectionPool(host='www.google.com', port=443): Read timed out. (read timeout=10)
2025-04-13 21:46:56.374 | ERROR    | proxy_tester:test_proxy:41 - Proxy 111.72.198.105:2324 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCD090>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:56.454 | ERROR    | proxy_tester:test_proxy:41 - Proxy 49.51.195.196:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:56.455 | ERROR    | proxy_tester:test_proxy:41 - Proxy 43.153.32.146:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:56.539 | ERROR    | proxy_tester:test_proxy:41 - Proxy 190.2.213.169:999 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8EE0AA0D0>, 'Connection to 190.2.213.169 timed out. (connect timeout=10)')))
2025-04-13 21:46:56.555 | ERROR    | proxy_tester:test_proxy:41 - Proxy 43.159.152.105:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:56.604 | ERROR    | proxy_tester:test_proxy:41 - Proxy 14.181.42.33:5119 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 502 Bad Gateway')))
